,close,date,high,low,open,quoteVolume,volume,weightedAverage
9796,8023.81507777,1523946000,8023.88311349,8009.99999749,8011.2,0.7920481,6347.2713146,8013.74476449
9797,8032.51887841,1523946300,8032.51887841,8014.05419188,8020,0.53938233,4328.10605048,8024.18954006
9798,8030,1523946600,8036.81627423,8020.00000001,8026.94176151,2.11097533,16954.22033017,8031.46303475
9799,8034.99999999,1523946900,8035,8020.95805032,8034.99999999,1.96606157,15797.09710643,8034.89440385
9800,8034.4,1523947200,8034.89999785,8020,8021.53970089,4.78400591,38375.80014028,8021.687444
9801,8027.58299163,1523947500,8038.58897362,8020,8032,0.61847365,4962.18412783,8023.27492502
9802,8020.03401959,1523947800,8034.14628829,8020,8020.01701165,6.08211317,48806.24768913,8024.55434895
9803,8032.13196292,1523948100,8034.84628846,8020,8029.23196654,1.23341655,9897.08742439,8024.12406773
9804,8052.16329683,1523948400,8059.05946677,8024.54897203,8031.86329679,11.27343497,90615.67034707,8037.98226434
9805,8129.27645874,1523948700,8129.27645893,8057.36329683,8059.05946677,45.74038362,371144.73460731,8114.15876374
9806,8142.03402248,1523949000,8155,8129.27645874,8129.27645893,44.28369243,360542.57780254,8141.65572061
9807,8142.91494167,1523949300,8143,8112.19922315,8135,8.98982041,73074.59681802,8128.5936187
9808,8120,1523949600,8142.98298876,8113.72943536,8141.8639075,7.29259143,59329.41964699,8135.57433135
9809,8122.00000015,1523949900,8139.79509615,8118.30467748,8126.10877091,2.50550983,20364.4229236,8127.85592767
9810,8149.99999848,1523950200,8149.99999998,8122.04983829,8122.068039,10.43619,85001.90164916,8144.91702902
9811,8130.44446156,1523950500,8150,8130.44446155,8149.99999711,16.03827256,130616.21937419,8144.03289915
9812,8121.76468724,1523950800,8134.96597669,8121.54319315,8134.96597669,7.97827676,64843.42725508,8127.49785519
9813,8129.00000001,1523951100,8133.83196369,8121.56020171,8123.62823601,4.27901025,34789.73053368,8130.3218504
9814,8105.98088521,1523951400,8133.88299165,8102.78670244,8129.00000001,19.57343734,158960.21199311,8121.22108303
9815,8129.19099165,1523951700,8129.19099165,8103.29380106,8108.9877784,4.82157734,39123.80489039,8114.31656728
9816,8149.69999999,1523952000,8149.99999999,8113.63700283,8129.19099165,4.52462745,36826.74332891,8139.17692359
9817,8136.08651795,1523952300,8155.05102813,8136,8149.69999999,9.54750469,77771.46936652,8145.73774946
9818,8130.23887367,1523952600,8137.94897206,8126.71,8137.94897206,1.26818264,10319.93852816,8137.5806628
9819,8141,1523952900,8141,8130.25588226,8137.94897206,5.89583145,47996.21572908,8140.70350146
9820,8143.62538688,1523953200,8145,8136,8136.08578747,9.2954626,75669.69162909,8140.49766916
9821,8130.25698776,1523953500,8143.62538688,8130.03401975,8138.8,13.18725402,107363.95839187,8141.49467577
9822,8140,1523953800,8144.99999999,8130.29137297,8143.62538686,2.22656994,18129.60705747,8142.39280418
9823,8140.23604782,1523954100,8143.168,8136.03403736,8143.16799999,1.56195574,12714.73563552,8140.26627638
9824,8145,1523954400,8147.52538602,8140.23604782,8143.168,1.6507558,13442.81594557,8143.4309942
9825,8142.49999999,1523954700,8149.99999999,8141.30445672,8147.52538602,14.88573621,121290.98226451,8148.13460035
9826,8149.99999994,1523955000,8150,8141.33921064,8142,0.90835863,7400.37213639,8146.97179284
9827,8137.07,1523955300,8150,8136.15099163,8150,17.56996243,143084.37154941,8143.6925161
9828,8147.56598327,1523955600,8149.04843441,8136.15099163,8137.07,1.53286278,12477.25991128,8139.84139616
9829,8145,1523955900,8147.48057036,8137,8147.48057036,1.28556587,10464.68937371,8140.14249904
9830,8141,1523956200,8147.86392442,8135,8145,7.88678094,64214.08220489,8141.98881564
9831,8147.86392442,1523956500,8147.86392442,8141,8147.69999999,3.18996421,25986.07813857,8146.19739529
9832,8146.89999999,1523956800,8147.84691607,8141,8147.84691607,1.3076684,10648.35577494,8143.00917185
9833,8143.7777,1523957100,8150,8140,8141,2.91054867,23709.76458819,8146.1494984
